,KOR,ENG,,
NAME_PLAYER,로봇,Robot,,
NAME_SOWRD,소드,Sword,,
NAME_MING,밍,Ming,,
NAME_DABONG,다봉,Dabong,,
NAME_PIGGY,돼지,Piggy,,
NAME_GONYONG,고뇽,GoNyong,,
NAME_MINUM,미눔,Minum,,
NAME_SYONG,셩,Syong,,
NAME_HWAN,환,Hwan,,
NAME_ADULT,엉인,Jeo Adult,,
NAME_YSS,ㅇㅅㅅ,Y.S.S.,,
NAME_PURPLE,보라,Purple,,
NAME_NUREONG,누렁이,Nureong,,
,,,,
NAME_DIGITALART,아트쌤,Art T.,,
NAME_SCIENCE,과학쌤,Science T.,,
NAME_PE,체육쌤,P.E T.,,
NAME_MATH,수학쌤,Math T.,,
NAME_MUSIC,음악쌤,Music T.,,
NAME_SOCIAL,사회쌤,Social T.,,
NAME_COUNSELOR,상담쌤,Counselor,,
NAME_CLUE,창체쌤,Club T.,,
NAME_CHICK,병아리쌤,Mr. Chick,,
NAME_HOMEROOM,담임쌤,Class T.,,
,,,,
,,,,
,,,,
,,,,
,,,음감정,
,,,정신 캡사이신,
,,,,
ROOM_CLASS_GROUP,민호승성시현,Dumbasss,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Systems,,,,
,,,,
UI_START,등교하기,START,,
UI_SETTING,설정,SETTING,,
UI_ACHIEVE,도전과제,ACHIEVEMENT,,
UI_QUIT,하교하기,QUIT,,
UI_BACK,뒤로가기,BACK,,
INPUT_LEFT,왼쪽,LEFT,,
INPUT_RIGHT,오른쪽,RIGHT,,
INPUT_UP,계단 올라가기,UP,,
INPUT_DOWN,계단 내려가기,DOWN,,
INPUT_JUMP,점프,JUMP,,
INPUT_INTERACT,상호작용,INTERACT,,
INPUT_PHONE,휴대폰,PHONE,,
SLIPPERS_CHANGED,실내화로 갈아신었다.,I changed into indoor slippers.,,
DAY1_CLASSOPEN_NS_01,실내화로 안 갈아신은 애 나와라,,,
DAY1_CLASSOPEN_NS_02,아 맞다,,,
DAY1_CLASSOPEN_NS_03,"끝나고 갈아신고 와라, 벌점 1점이야.",,,
DAY1_CLASSOPEN_NS_04,힝,,,
DAY2_CLASSOPEN_NS_01,오늘도 운동화 신었니?,,,
DAY2_CLASSOPEN_NS_02,헐,,,
DAY2_CLASSOPEN_NS_03,오늘도 벌점이란다,,,
DAY2_CLASSOPEN_NS_04,힝,,,
DAY3_CLASSOPEN_NS_01,,,,
DAY3_CLASSOPEN_NS_02,,,,
DAY3_CLASSOPEN_NS_03,,,,
DAY3_CLASSOPEN_NS_04,,,,
DAY4_CLASSOPEN_NS_01,(아 맞다 실내화),,,
DAY4_CLASSOPEN_NS_02,(근데 별 말 없으신데),,,
DAY4_CLASSOPEN_NS_03,(까먹으셨나보다),,,
DAY4_CLASSOPEN_NS_04,(휴~),,,
DAY5_CLASSOPEN_NS_01,,,,
DAY5_CLASSOPEN_NS_02,,,,
DAY5_CLASSOPEN_NS_03,,,,
DAY5_CLASSOPEN_NS_04,,,,
,,,,
D1_MOR,,,,
,,,,
DAY1_CHAT_M_01,으아아아아아!!!,Aaaahhh!!!,,
DAY1_CHAT_M_02,버스 *발!!!!!,"The bus, f*ck!!!!!",,
DAY1_CHAT_M_03,ㅇ락ㄲ광ㄲ각ㄲ삭,AklsSKkdsgjag,,
DAY1_CHAT_M_04,*발 그냥 뛰어갈거야!!!,"Screw it, I’m just running!!!",,
DAY1_CHAT_M_05,ㅈ댓다,I’m screwed.,,
DAY1_CHAT_M_06,아트 숙제 크로키 공책,My sketchbook for art Homework...,,
DAY1_CHAT_M_07,오늘제출해야되는데안가져왔다,IwasSupposedToTurnITinTODAYbutFORGOT,,
DAY1_CHAT_M_08,ㅁㄻㄴㄹㅇㄴㄻㄴㄻㄴ,Ughhhhghghghghg,,
DAY1_CHAT_M_09,화팅킹...!,Fighting...!,,
DAY1_CHAT_M_10,심호흡 하시오,Take a deep breath.,,
DAY1_CHAT_M_11,우히히히히히힛,Hehehehehehehe,,
DAY1_CHAT_M_12,우히히히ㅣㄱ,Hehehehkkk,,
DAY1_CHAT_M_13,버스가 나 보고 그냥 지나침,The bus literally just passed me by.,,
DAY1_CHAT_M_14,바퀴 하나씩 터트리고 싶다.,I wanna pop all its tires.,,
DAY1_CHAT_M_15,그...,Well...,,
DAY1_CHAT_M_16,키작아서 못봤나보지...,Maybe it didn’t see you ‘cause you’re short...,,
DAY1_CHAT_M_17,ㅋㅋㅋㅋㅋㅋ,lmao,,
DAY1_CHAT_M_18,미안해ㅠㅠ,Sorry T_T,,
DAY1_CHAT_M_19,그런데 우리,"""But hey, we""",,
DAY1_CHAT_M_20,방학 언제임?,When’s vacation?,,
DAY1_CHAT_M_21,이번주 금요일,This Friday.,,
